ID,COD_BARRIO,BARRIO,links_barrio,COD_DISTRITO,DISTRITO,links_district,ESTADO,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,CODIGO_INTERNO,MODELO
513840,203,Amposta,https://wikidata.org/entity/Q11905392,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,OPERATIVO,40.42868016,-3.62107999,CALLE,TEJEDORES,19,28037,265536,50_LTS_EX
513842,202,Hellín,https://wikidata.org/entity/Q10294546,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,OPERATIVO,40.43082017,-3.61476002,CALLE,JOSE RAMON VIZCAINO,6,28037,265538,50_LTS_EX
513845,127,Pradolongo,https://wikidata.org/entity/Q10352360,12,Usera,https://wikidata.org/entity/Q953368,OPERATIVO,40.3836861,-3.70655,CALLE,JOSE BIELSA,10,28026,265542,50_LTS_EX
513849,127,Pradolongo,https://wikidata.org/entity/Q10352360,12,Usera,https://wikidata.org/entity/Q953368,OPERATIVO,40.38131016,-3.70681004,CALLE,JASPE,25,28026,265547,50_LTS_EX
513851,126,El Zofío,https://wikidata.org/entity/Q71751,12,Usera,https://wikidata.org/entity/Q953368,OPERATIVO,40.38088909,-3.71319101,CALLE,SILVIO ABAD,51,28026,265549,50_LTS_EX
513853,126,El Zofío,https://wikidata.org/entity/Q71751,12,Usera,https://wikidata.org/entity/Q953368,OPERATIVO,40.37801011,-3.71561694,CALLE,HENO,20,28026,265551,50_LTS_EX
513854,126,El Zofío,https://wikidata.org/entity/Q71751,12,Usera,https://wikidata.org/entity/Q953368,OPERATIVO,40.38259011,-3.71733996,CALLE,RICARDO BELTRAN Y ROZPIDE,13,28026,265552,50_LTS_EX
513857,094,Valdezarza,https://wikidata.org/entity/Q10388728,09,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,OPERATIVO,40.46486017,-3.70995996,CALLE,VALLE DE BELAGUA,1,28039,265555,50_LTS_EX
515585,103,Lucero,https://wikidata.org/entity/Q31162,10,Latina,https://wikidata.org/entity/Q794954,OPERATIVO,40.40493017,-3.74868998,CALLE,CEBREROS,64,28011,267440,50_LTS_EX
516435,031,Pacífico,https://wikidata.org/entity/Q3773753,03,Retiro,https://wikidata.org/entity/Q2002296,OPERATIVO,40.40709012,-3.67563996,CALLE,JUAN DE URBIETA,41,28007,268360,50_LTS_EX
516436,054,Hispanoamérica,https://wikidata.org/entity/Q3814573,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.45404387,-3.66381545,CALLE,EUCALIPTO,13,28016,268361,50_LTS_EX
516437,054,Hispanoamérica,https://wikidata.org/entity/Q3814573,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.45834012,-3.66596997,CALLE,LIRIOS,5 B,28016,268362,50_LTS_EX
516438,031,Pacífico,https://wikidata.org/entity/Q3773753,03,Retiro,https://wikidata.org/entity/Q2002296,OPERATIVO,40.40549115,-3.68149502,CALLE,VANDERGOTEN,3,28014,268363,50_LTS_EX
516442,054,Hispanoamérica,https://wikidata.org/entity/Q3814573,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.45484257,-3.66610821,AVENIDA,ALHELIES,8,28016,268369,50_LTS_EX
