ID,BARRIO,same_as_wikidata_barrio,DISTRITO,same_as_wikidata_distrito,ESTADO,CLASE-VIAL,NOMBRE-VIA,CODIGO-POSTAL,FECHA-INSTALACION,MODELO
94526,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"CONSERVEROS, 4",28037,2021-09-03,MU-51
94542,Rejas,http://wikidata.org/entity/Q10359029,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"SEPTIMA, 68",28022,2021-09-03,MU-51
66418,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"GUADALAJARA, 57",28032,2023-06-06,MU-51
63464,Amposta,http://wikidata.org/entity/Q11905392,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 160",28037,2022-09-21,MU-51
67717,Valdefuentes,http://wikidata.org/entity/Q10388714,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"INFANTA CATALINA MICAELA, 37",28050,2021-09-24,MU-51
60411,Valdefuentes,http://wikidata.org/entity/Q10388714,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"AURORA REDONDO, 4",28055,2022-07-06,MU-51
94551,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 129",28037,2021-02-11,MU-51
94538,Rosas,http://wikidata.org/entity/Q18880469,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"AUSTRIA, 15",28022,2021-09-03,MU-51
94552,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 129",28037,2021-09-14,MU-51
94537,Rosas,http://wikidata.org/entity/Q18880469,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"AUSTRIA, 15",28022,2019-02-04,MU-51
94554,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 129",28037,2020-09-23,MU-51
94555,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 129",28037,2021-09-01,MU-51
69314,Quintana,http://wikidata.org/entity/Q71810,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,CALLE,"VIRGEN DEL SAGRARIO, 22",28027,2021-09-14,MU-51
60408,Pinar del Rey,http://wikidata.org/entity/Q10349788,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"ANGEL LUIS DE LA HERRAN, 35",28043,2022-07-21,MU-51
63462,Amposta,http://wikidata.org/entity/Q11905392,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 160",28037,2019-06-14,MU-51
94560,Simancas,http://wikidata.org/entity/Q10371626,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 17 B",28037,2021-09-02,MU-51
95545,Pueblo Nuevo,http://wikidata.org/entity/Q71753,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 16",28037,2021-09-03,MU-51
96303,Amposta,http://wikidata.org/entity/Q11905392,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 89",28037,2021-10-14,MU-51
96304,Rosas,http://wikidata.org/entity/Q18880469,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"NIZA, 8",28022,2021-08-11,MU-51
61944,EL SALVADOR,,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"IQUITOS, 20",28027,2022-08-23,MU-51
96317,Rosas,http://wikidata.org/entity/Q18880469,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"ARCENTALES, 28",28022,2021-10-20,MU-51
96325,San Juan Bautista,http://wikidata.org/entity/Q165609,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,CALLE,"RAMIREZ DE ARELLANO, 35",28043,2021-10-13,MU-51
96329,San Juan Bautista,http://wikidata.org/entity/Q165609,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,CALLE,"SORZANO, 1",28043,2021-10-20,MU-51
96876,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"CARRIL DEL CONDE, 57",28043,2020-09-23,MU-51
96872,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"LOPEZ DE HOYOS, 327",28043,2019-02-04,MU-51
97802,Simancas,http://wikidata.org/entity/Q10371626,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"ALBARRACIN, 54",28037,2021-09-02,MU-51
96874,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CARRETERA,"CANILLAS, 2",28043,2021-02-11,MU-51
97804,Simancas,http://wikidata.org/entity/Q10371626,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"ALBARRACIN, 54",28037,2021-10-20,MU-51
97807,EL SALVADOR,,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"VEINTICINCO DE SEPTIEMBRE, 1",28027,2021-09-23,MU-51
97809,EL SALVADOR,,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"VEINTICINCO DE SEPTIEMBRE, 1",28027,2021-09-15,MU-51
97975,Apóstol Santiago,http://wikidata.org/entity/Q11906303,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"MONOVAR, 19",28033,2021-09-08,MU-51
