POSICION;MOTIVO;COMENTARIO;idelem;NOVEDAD;DISEÑO;DISTRITOS;BARRIO;TIPO;LONGITUD;N_ELEMENTOS;PROMOTOR;TEXTO
C BOLTAÑA, ENTRE C TORRE ARIAS Y C SAN MARIANO;ARCOS COMPACTOS;CIRCULOS DE COLORES;98;NO; ;San Blas - Canillejas;Canillejas;LINEAL;212;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE COLON;MOTIVO SINGULAR;BELEN GIGANTE;99;SI;DM;Centro, Chamberí;Justicia;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;Nacimiento gigante de la Plaza de Colón con las siluetas de San José, la Virgen María y el Niño Jesús,  una figura de diez metros de altura iluminada con un total de 20.000 puntos de luz led
PUERTA DEL SOL;ABETO;35 METROS DE ALTURA CON NUEVO DISEÑO;100;SI;DM;Centro;Sol;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;Diseño del abeto luminoso de la Puerta del Sol, 35 metros de alto y 14 de diámetro en su base y simula un abeto natural gracias a su espumillón verde. Sus luces serán de color blanco y dorado con un total de 240 000 puntos de luces led
PLAZA DE ISABEL II - OPERA;ABETO;16 METROS DE ALTURA. DISEÑO TUL ROJO;101;NO;BEN BUSCHE;Centro;Palacio;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA MAYOR;ABETO;16 METROS DE ALTURA. DISEÑO TUL BLANCO;102;NO;BEN BUSCHE;Centro;Sol;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE CASTILLA;ABETO;16 METROS DE ALTURA. DISEÑO CON ANGELES;103;NO; ;Chamartín, Tetuán;Nueva España;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE CARDENAL CISNEROS;ABETO;22 METROS DE ALTURA. DISEÑO BAUM HAUS;104;NO; ;Moncloa - Aravaca;Ciudad Universitaria;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA RODOLFO Y ERNESTO HALFFTER - AUDITORIO NACIONAL DE MUSICA;ABETO;22 METROS DE ALTURA. DISEÑO CON CORAZONES;105;NO;TERESA SAPEY;Chamartín;Ciudad Jardín;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
RED DE SAN LUIS - MONTERA;ABETO;22 METROS DE ALTURA. DISEÑO BLANCO;106;NO;BEN BUSCHE;Centro;Sol;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
GLORIETA EMPERADOR CARLOS V;ABETO;22 METROS DE ALTURA. DISEÑO VUELTA AL MUNDO MAGALLANES;107;NO;SERGIO SEBASTIAN;Centro, Arganzuela;Embajadores;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE SAN JUAN DE LA CRUZ;ABETO;22 METROS DE ALTURA. DISEÑO HOJAS HR;108;SI;HELENA ROHNER;Chamartín, Chamberí;El Viso;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA ELÍPTICA;ABETO;22 METROS DE ALTURA. DISEÑO CON CADENETAS. EN ISLEAT CENTRAL AL LADO DE LA FUENTE;109;NO; ;Carabanchel, Usera;Moscardó;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
