ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,FECHA_INSTALACION,MODELO
4990470,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,REINA,33,28004,2018-07-30 00:00:00.0,MU-51
4990472,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,INFANTAS,19,28004,2018-07-30 00:00:00.0,MU-51
4990567,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,REINA,27,28004,2018-07-30 00:00:00.0,MU-51
4990569,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,REINA,3,28004,2018-07-30 00:00:00.0,MU-51
4990570,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,REINA,3,28004,2018-07-30 00:00:00.0,MU-51
4990609,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,INFANTAS,10,28004,2018-07-30 00:00:00.0,MU-51
4990622,Aparcabicicletas,14,JUSTICIA,1,CENTRO,OPERATIVO,CALLE,INFANTAS,29,28004,2018-07-30 00:00:00.0,MU-51
5552460,Aparcabicicletas,21,IMPERIAL,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552489,Aparcabicicletas,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,OPERATIVO,,,,28005,,MU-51
5552492,Aparcabicicletas,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,OPERATIVO,,,,28005,,MU-51
5552506,Aparcabicicletas,91,CASA DE CAMPO,9,MONCLOA-ARAVACA,OPERATIVO,,,,28005,,MU-51
5552515,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552532,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552538,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552541,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552560,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552577,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552588,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552606,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552611,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552620,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552655,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552658,Aparcabicicletas,23,CHOPERA,2,ARGANZUELA,OPERATIVO,,,,28005,,MU-51
5552718,Aparcabicicletas,125,MOSCARDO,12,USERA,OPERATIVO,,,,28005,,MU-51
5226498,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,CARRERA,SAN FRANCISCO,3,28005,2019-12-10 00:00:00.0,MU-51
5226506,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,PLAZA,PUERTA DE MOROS,3,28005,2019-12-10 00:00:00.0,MU-51
5226509,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,PLAZA,PUERTA DE MOROS,8,28005,2019-12-10 00:00:00.0,MU-51
5226517,Aparcabicicletas,11,PALACIO,1,CENTRO,OPERATIVO,PLAZA,CEBADA,7,28005,2019-12-10 00:00:00.0,MU-51
5226518,Aparcabicicletas,12,EMBAJADORES,1,CENTRO,OPERATIVO,PLAZA,CEBADA,1,28005,2019-12-10 00:00:00.0,MU-51
5226532,Aparcabicicletas,12,EMBAJADORES,1,CENTRO,OPERATIVO,PLAZA,CASCORRO,23,28005,2019-12-10 00:00:00.0,MU-51
5226537,Aparcabicicletas,12,EMBAJADORES,1,CENTRO,OPERATIVO,CALLE,DUQUE DE ALBA,12,28012,2019-12-10 00:00:00.0,MU-51
