PK,NOMBRE,TIPO,EQUIPAMIENTO,TRANSPORTE,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,CODIGO-POSTAL,BARRIO,DISTRITO
6341954,Instalación Deportiva Municipal Básica La Diligencia,Instalación Deportiva,Pistas de Tenis,"Metro: PortazgoBus: 10 , 54 , 57 , 58 , 103 , 136 , 310 , 410",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=48a82246ce7e5310VgnVCM2000000c205a0aRCRD,"DILGENCIA, 7",CALLE,28018,PALOMERAS BAJAS,PUENTE DE VALLECAS
4555851,Instalación Deportiva Municipal Básica La Mancha,Instalación Deportiva,2 Pistas de tenis de mesa.,"Metro: Almendrales. Bus: 6 , 18 , 22 , 23 , 59 , 76 , 78 , 79 , 85 , 86 , 123.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e3ada2c4720e1110VgnVCM1000000b205a0aRCRD,"TOMELLOSO, 21",CALLE,28026,ALMENDRALES,USERA
4526685,Instalación Deportiva Municipal Básica La Masó,Instalación Deportiva,15 pistas de pádel.,"Bus: 49 , 134",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=32fe94a5989e0110VgnVCM1000000b205a0aRCRD,"LA MASO, 34",CALLE,28034,MIRASIERRA,FUENCARRAL-EL PARDO
6342001,Instalación Deportiva Municipal Básica La Perla,Instalación Deportiva,1 Campo de fútbol 11 de césped artificial 1 Pista de fútbol sala 4 Pistas de pádel,"Metro: San Fermín - Orcasur Bus: 23, 78, 123",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=93832246ce7e5310VgnVCM2000000c205a0aRCRD,"CORINDON, 3",CALLE,28041,SAN FERMIN,USERA
11081401,Instalación Deportiva Municipal Básica Laminador de Tormentas - Valdebebas,Instalación Deportiva,4 Pistas polideportivas,"Bus: 150 , 174",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=57c9d0a0401de610VgnVCM2000001f4a900aRCRD,ANTONIO FLÓREZ S/N ESQUINA AVENIDA FRANCISCO JAVIER SÁENZ DE OIZA,CALLE,28055,VALDEFUENTES,HORTALEZA
6346330,Instalación Deportiva Municipal Básica Las Rosas,Instalación Deportiva,1 Patinódromo,"Bus: 38 , 48 , 140",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4f50bc36145f5310VgnVCM1000000b205a0aRCRD,"NIZA, s/n",AVENIDA,28022,ROSAS,SAN BLAS-CANILLEJAS
10915688,Instalación Deportiva Municipal Básica Las Vistillas,Instalación Deportiva,1 Pista de fútbol sala,"Bus: 25 , 31 , 33 , 36 , 39 , 41 , 50 , 65 , 138 , C",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80725ad0e8099610VgnVCM1000001d4a900aRCRD,GABRIEL MIRO,PLAZA,28005,PALACIO,CENTRO
4548373,Instalación Deportiva Municipal Básica Lili Alvarez,Instalación Deportiva,1 Campo de fútbol (césped artificial)1 Campo de fútbol 7 (césped artificial)4 Pistas de Padel1 Pista de baloncesto1 Pista de voleibol,"Bus: 30 , 100 , 140",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bca52a4e24891110VgnVCM2000000c205a0aRCRD,"LA RIVIERA, 4",CALLE,28030,HORCAJO,MORATALAZ
5705898,Instalación Deportiva Municipal Básica Lonja de la Seda,Instalación Deportiva,1 Pista polideportiva1 Campo de baloncesto1 Pista de patinaje1 Pista de petanca,"Metro: La Peseta.Bus: 35, 47 , 155",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=18bad4e69dde8210VgnVCM2000000c205a0aRCRD,"LONJA DE LA SEDA, 32",CALLE,28054,BUENAVISTA,CARABANCHEL
4580413,Instalación Deportiva Municipal Básica Los Caprichos,Instalación Deportiva,EQUIPAMIENTOS    Unidades Deportivas al Aire Libre 2 Pistas de Tenis (1 con luz y otra sin luz) - 4 Pistas de Pádel - 1 Pista de Fútbol Sala (sin luz) - 2 Pistas de Baloncesto (sin luz)  Unidades Deportivas Cubiertas Sala Multiusos de Fitness Aeróbico,"Bus: 17 , 25 , 119 , 138",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d2370e840d2b2110VgnVCM1000000b205a0aRCRD,"CAPRICHOS, 1",AVENIDA,28011,LOS CARMENES,LATINA
