ID,CODE,MUNICIPIO,SAME_AS_WIKIDATA_MUNICIPIO,PROVINCIA,SAME_AS_WIKIDATA_PROVINCIA,2020
48041IdxD,48041,Gautegiz Arteaga,https://www.wikidata.org/wiki/Q1228053,Biscay,https://www.wikidata.org/wiki/Q93366,32.56
20907IdxD,20907,Gaztelu,https://www.wikidata.org/wiki/Q1641862,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,155.17
48046IdxD,48046,Gernika,https://www.wikidata.org/wiki/Q189848,Biscay,https://www.wikidata.org/wiki/Q93366,32.71
20039IdxD,20039,Getaria,https://www.wikidata.org/wiki/Q849330,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,22.22
48044IdxD,48044,Getxo,https://www.wikidata.org/wiki/Q492420,Biscay,https://www.wikidata.org/wiki/Q93366,24.48
48047IdxD,48047,Gizaburuaga,https://www.wikidata.org/wiki/Q1228089,Biscay,https://www.wikidata.org/wiki/Q93366,14.78
48042IdxD,48042,Gordexola,https://www.wikidata.org/wiki/Q1228097,Biscay,https://www.wikidata.org/wiki/Q93366,37.81
48043IdxD,48043,Gorliz,https://www.wikidata.org/wiki/Q763669,Biscay,https://www.wikidata.org/wiki/Q93366,47.19
48045IdxD,48045,Güeñes,https://www.wikidata.org/wiki/Q596305,Biscay,https://www.wikidata.org/wiki/Q93366,25.5
1056IdxD,1056,Harana/Valle de Arana,https://www.wikidata.org/wiki/Q1382230,Álava,https://www.wikidata.org/wiki/Q81801,42.02
20040IdxD,20040,Hernani,https://www.wikidata.org/wiki/Q1441329,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,31.24
20041IdxD,20041,Hernialde,https://www.wikidata.org/wiki/Q1639392,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,28.75
20036IdxD,20036,Hondarribia,https://www.wikidata.org/wiki/Q492312,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,21.41
20042IdxD,20042,Ibarra,https://www.wikidata.org/wiki/Q1618296,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,25.93
48048IdxD,48048,Ibarrangelu,https://www.wikidata.org/wiki/Q1227981,Biscay,https://www.wikidata.org/wiki/Q93366,119.63
20043IdxD,20043,Idiazabal,https://www.wikidata.org/wiki/Q1619118,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,13.57
48094IdxD,48094,Igorre,https://www.wikidata.org/wiki/Q779046,Biscay,https://www.wikidata.org/wiki/Q93366,31.52
20044IdxD,20044,Ikaztegieta,https://www.wikidata.org/wiki/Q616464,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,54.05
20045IdxD,20045,Irun,https://www.wikidata.org/wiki/Q200201,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,39.97
20046IdxD,20046,Irura,https://www.wikidata.org/wiki/Q537215,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,50.41
1027IdxD,1027,Iruraiz-Gauna,https://www.wikidata.org/wiki/Q1443812,Álava,https://www.wikidata.org/wiki/Q81801,43.24
1901IdxD,1901,Iruña de Oca/Iruña Oka,https://www.wikidata.org/wiki/Q1382293,Álava,https://www.wikidata.org/wiki/Q81801,36.22
48049IdxD,48049,Ispaster,https://www.wikidata.org/wiki/Q1227941,Biscay,https://www.wikidata.org/wiki/Q93366,37.28
20047IdxD,20047,Itsasondo,https://www.wikidata.org/wiki/Q1639397,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,28.49
48910IdxD,48910,Iurreta,https://www.wikidata.org/wiki/Q668016,Biscay,https://www.wikidata.org/wiki/Q93366,39.03
48050IdxD,48050,Izurtza,https://www.wikidata.org/wiki/Q682513,Biscay,https://www.wikidata.org/wiki/Q93366,77.49
48022IdxD,48022,Karrantza Harana / Valle de Carranza,https://www.wikidata.org/wiki/Q686837,Biscay,https://www.wikidata.org/wiki/Q93366,52.33
48907IdxD,48907,Kortezubi,https://www.wikidata.org/wiki/Q1228003,Biscay,https://www.wikidata.org/wiki/Q93366,24.77
1019IdxD,1019,Kripan,https://www.wikidata.org/wiki/Q1369053,Álava,https://www.wikidata.org/wiki/Q81801,21.98
1020IdxD,1020,Kuartango,https://www.wikidata.org/wiki/Q1368846,Álava,https://www.wikidata.org/wiki/Q81801,20.89
1028IdxD,1028,Labastida-Bastida,https://www.wikidata.org/wiki/Q1155351,Álava,https://www.wikidata.org/wiki/Q81801,23.42
1030IdxD,1030,Lagrán,https://www.wikidata.org/wiki/Q1382223,Álava,https://www.wikidata.org/wiki/Q81801,27.78
1031IdxD,1031,Laguardia - Guardia,https://www.wikidata.org/wiki/Q303629,Álava,https://www.wikidata.org/wiki/Q81801,48.27
1032IdxD,1032,Lanciego/Lantziego,https://www.wikidata.org/wiki/Q1443959,Álava,https://www.wikidata.org/wiki/Q81801,18.87
48051IdxD,48051,Lanestosa,https://www.wikidata.org/wiki/Q1227956,Biscay,https://www.wikidata.org/wiki/Q93366,10.71
1902IdxD,1902,Lantarón,https://www.wikidata.org/wiki/Q1447382,Álava,https://www.wikidata.org/wiki/Q81801,36.69
1033IdxD,1033,Lapuebla de Labarca,https://www.wikidata.org/wiki/Q1445242,Álava,https://www.wikidata.org/wiki/Q81801,25.23
48052IdxD,48052,Larrabetzu,https://www.wikidata.org/wiki/Q784127,Biscay,https://www.wikidata.org/wiki/Q93366,25.04
20048IdxD,20048,Larraul,https://www.wikidata.org/wiki/Q1639443,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,31.25
20902IdxD,20902,Lasarte-Oria,https://www.wikidata.org/wiki/Q932766,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,19.14
1036IdxD,1036,Laudio/Llodio,https://www.wikidata.org/wiki/Q676903,Álava,https://www.wikidata.org/wiki/Q81801,26.28
48053IdxD,48053,Laukiz,https://www.wikidata.org/wiki/Q1246777,Biscay,https://www.wikidata.org/wiki/Q93366,44.15
20049IdxD,20049,Lazkao,https://www.wikidata.org/wiki/Q932872,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,19.75
20050IdxD,20050,Leaburu,https://www.wikidata.org/wiki/Q1639387,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,29.49
20051IdxD,20051,Legazpi,https://www.wikidata.org/wiki/Q1113716,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,21.62
20052IdxD,20052,Legorreta,https://www.wikidata.org/wiki/Q1639412,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,30.91
1058IdxD,1058,Legutio,https://www.wikidata.org/wiki/Q1611490,Álava,https://www.wikidata.org/wiki/Q81801,40.94
