﻿ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;USO;MODELO
5849302;Fuentes de beber;104;ALUCHE;10;LATINA;OPERATIVO;40,39571056;-3,75198249;CALLE;DUQUESA DE PARCENT;16;28047;ÁREA CANINA, PARQUE CERRO ALMODOVAR;PERSONAS Y MASCOTAS;MIXTA NEPTUNO
6542299;Fuentes de beber;144;MEDIA LEGUA;14;MORATALAZ;OPERATIVO;40,40767041;-3,66010343;AVENIDA;MORATALAZ;21;28030;junto zona infantil;PERSONAS Y MASCOTAS;MIXTA NEPTUNO
7130547;Fuentes de beber;211;ALAMEDA DE OSUNA;21;BARAJAS;OPERATIVO;40,45259941;-3,59551845;CALLE;CATAMARAN;9;28042;Parque Biosaludable Metro El Capricho;PERSONAS Y MASCOTAS;MIXTA ESTELA
7131439;Fuentes de beber;123;SAN FERMIN;12;USERA;OPERATIVO;40,36716247;-3,68916106;CALLE;CORINDON;10;28041;JUNTO CASETA JARDINEROS;PERSONAS Y MASCOTAS;MIXTA ESTELA
7144389;Fuentes de beber;131;ENTREVIAS;13;PUENTE DE VALLECAS;OPERATIVO;40,37489473;-3,67279059;RONDA;SUR;6 D;28053;JUNTO ÁREA CANINA;PERSONAS Y MASCOTAS;MIXTA ESTELA
7180278;Fuentes de beber;064;ALMENARA;06;TETUAN;OPERATIVO;40,46800165;-3,69434977;CALLE;COSTA VERDE;3;28029;frente al Nº 3;PERSONAS Y MASCOTAS;MIXTA ESTELA
7412031;Fuentes de beber;103;LUCERO;10;LATINA;OPERATIVO;40,39739203;-3,75046804;CALLE;CUART DE POBLET;117;28047;DENTRO DEL PARQUE DE LA CUÑA VERDE DENTRO DE ÁREA CANINA;PERSONAS Y MASCOTAS;MIXTA NEPTUNO
5541618;Fuentes de beber;051;EL VISO;05;CHAMARTIN;OPERATIVO;40,44301133;-3,67935784;CALLE;FELIPE CAMPOS;6;28002;CV C/FRANCISCO CAMPOS, JUNTO PISTAS PETANCA;PERSONAS Y MASCOTAS;MIXTA TERRIER
5815155;Fuentes de beber;201;SIMANCAS;20;SAN BLAS - CANILLEJAS;OPERATIVO;40,43463744;-3,61318921;AVENIDA;ARCENTALES;29;28022;EN PARQUE INTERIOR AREA CANINA;PERSONAS Y MASCOTAS;MIXTA NEPTUNO
5843625;Fuentes de beber;024;LEGAZPI;02;ARGANZUELA;OPERATIVO;40,39187585;-3,68572651;AVENIDA;PLANETARIO;18;28045;ÁREA CANINA, PASEO DE LAS CATALPAS JUNTO A LA FARONA 594, JUNTO A ÁREA CANINA;PERSONAS Y MASCOTAS;MIXTA NEPTUNO
5844560;Fuentes de beber;043;FUENTE DEL BERRO;04;SALAMANCA;NO_OPERATIVO;40,42738769;-3,66077019;CALLE;SANCHO DAVILA;17;28028;ÁREA CANINA, PARQUE SANCHO DAVILA;PERSONAS Y MASCOTAS;MIXTA NEPTUNO
5845865;Fuentes de beber;093;CIUDAD UNIVERSITARIA;09;MONCLOA - ARAVACA;OPERATIVO;40,45169239;-3,71447536;CALLE;RECTOR ROYO-VILLANOVA;10 C;28040;ÁREA CANINA, PARQUE JUAN XXIII;PERSONAS Y MASCOTAS;MIXTA NEPTUNO
5846927;Fuentes de beber;085;LA PAZ;08;FUENCARRAL-EL PARDO;OPERATIVO;40,485775;-3,70020336;CALLE;SANGENJO;29;28034;ÁREA CANINA, PARQUE DE LA SUPERMANZANA 7;PERSONAS Y MASCOTAS;MIXTA NEPTUNO
5847548;Fuentes de beber;086;VALVERDE;08;FUENCARRAL-EL PARDO;OPERATIVO;40,50278962;-3,66792685;PASEO;SAN MILLAN DE LA COGOLLA;14;28050;ÁREA CANINA, CALLE SAN MILLAN DE LA COGOLLA C/V CALLE VALCARLOS;PERSONAS Y MASCOTAS;MIXTA NEPTUNO
