ID,DESC_CLASIFICACION,address_id,LOCALIDAD,COD_POSTAL,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,TIPO_VIA,NOM_VIA,NUM_VIA,ESTADO,ID_GEO,LATITUD,LONGITUD,USO,MODELO
8800150,Fuentes de beber,8800150_adress,Madrid,28042,213,CASCO H.BARAJAS,21,BARAJAS,CALLE,TROPICO,19,OPERATIVO,8800150_geo,40.47461332,-3.58038303,MASCOTAS,BEBEDERO NEPTUNO
7143151,Fuentes de beber,7143151_adress,Madrid,28026,126,ZOFIO,12,USERA,AVENIDA,RAFAELA YBARRA,4,OPERATIVO,7143151_geo,40.38369098,-3.7117035,PERSONAS Y MASCOTAS,MIXTA ESTELA
7608511,Fuentes de beber,7608511_adress,Madrid,28002,053,CIUDAD JARDIN,05,CHAMARTIN,CALLE,MARCENADO,51,OPERATIVO,7608511_geo,40.45020597,-3.67510457,PERSONAS Y MASCOTAS,MIXTA ESTELA
7870538,Fuentes de beber,7870538_adress,Madrid,28022,205,ROSAS,20,SAN BLAS - CANILLEJAS,AVENIDA,ARCENTALES,28,OPERATIVO,7870538_geo,40.43142301,-3.59727205,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
7870539,Fuentes de beber,7870539_adress,Madrid,28022,205,ROSAS,20,SAN BLAS - CANILLEJAS,AVENIDA,ARCENTALES,57,OPERATIVO,7870539_geo,40.43097094,-3.5975675,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
8835112,Fuentes de beber,8835112_adress,Madrid,28031,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,CALLE,PUERTO DE PORZUNA,45,OPERATIVO,8835112_geo,40.36928809,-3.6290104,PERSONAS Y MASCOTAS,MIXTA ESTELA
8835115,Fuentes de beber,8835115_adress,Madrid,28051,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,CALLE,VILLAMAYOR DE SANTIAGO,13,OPERATIVO,8835115_geo,40.37500025,-3.60966316,PERSONAS Y MASCOTAS,MIXTA ESTELA
8835118,Fuentes de beber,8835118_adress,Madrid,28051,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,CALLE,PEÑARANDA DE BRACAMONTE,8 B,OPERATIVO,8835118_geo,40.37332685,-3.60362608,PERSONAS Y MASCOTAS,MIXTA ESTELA
8835151,Fuentes de beber,8835151_adress,Madrid,28051,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,CALLE,ALTO DEL RETIRO,6,OPERATIVO,8835151_geo,40.36829147,-3.59150626,PERSONAS Y MASCOTAS,MIXTA ESTELA
8888575,Fuentes de beber,8888575_adress,Madrid,28022,206,REJAS,20,SAN BLAS - CANILLEJAS,CALLE,DEYANIRA,8,OPERATIVO,8888575_geo,40.44321612,-3.58866583,PERSONAS Y MASCOTAS,MIXTA ESTELA
