ID,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,FECHA_INSTALACION
8972592,86,VALVERDE,8,FUENCARRAL-EL PARDO,40.49824609,-3.69605999,PASEO,ALAMEDILLAS,6,28034,2022-08-01
8972600,107,LAS AGUILAS,10,LATINA,40.38429615,-3.76658299,AVENIDA,LAS AGUILAS,10,28044,2022-08-01
8972619,127,PRADOLONGO,12,USERA,40.37551913,-3.70743999,CALLE,DOCTOR TOLOSA LATOUR,16 A,28026,2022-08-01
8972626,182,SANTA EUGENIA,18,VILLA DE VALLECAS,40.38191410,-3.60958299,AVENIDA,SANTA EUGENIA,50,28031,2022-08-01
8972630,107,LAS AGUILAS,10,LATINA,40.38767209,-3.76635600,CALLE,ONIL,18 D,28044,2022-08-01
8972639,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.37186009,-3.62893000,CALLE,VALDERREBOLLO,30 E,28031,2022-08-01
8972642,191,CASCO H.VICALVARO,19,VICALVARO,40.40848811,-3.60499599,CALLE,ARROYO DEL HOYO,7,28032,2022-08-01
8972646,83,PEÑA GRANDE,8,FUENCARRAL-EL PARDO,40.48307915,-3.73036000,CALLE,ALEJANDRO CASONA,9,28035,2022-08-01
8972658,86,VALVERDE,8,FUENCARRAL-EL PARDO,40.49378217,-3.68878299,CALLE,ISLAS BRITANICAS,6,28034,2022-08-01
8972664,104,ALUCHE,10,LATINA,40.39561714,-3.75216200,CALLE,LOS YEBENES,55,28047,2022-08-01
8972674,121,ORCASITAS,12,USERA,40.36963710,-3.71372699,CALLE,DEVA,44,28041,2022-08-01
8972678,116,BUENAVISTA,11,CARABANCHEL,40.37103809,-3.73836900,AVENIDA,EURO,12 A,28054,2022-08-01
8972681,117,ABRANTES,11,CARABANCHEL,40.37802813,-3.72311900,CALLE,VIA LUSITANA,7,28025,2022-08-01
