Identificador_Dirección,Número_de_Distrito,Calle,Tipo de Vía
750122528,16,AVENUE FERDINAND BUISSON,AVENUE
750122602,16,AVENUE FOCH,AVENUE
750031505,7,AVENUE FRANCO-RUSSE,AVENUE
750036398,8,AVENUE FRANKLIN D. ROOSEVELT,AVENUE
750031511,7,AVENUE FREDERIC LE PLAY,AVENUE
750122792,16,AVENUE FREMIET,AVENUE
750041655,9,AVENUE FROCHOT,AVENUE
750036511,8,AVENUE GABRIEL,AVENUE
750089277,20,AVENUE GAMBETTA,AVENUE
750023284,5,AVENUE GEORGES BERNANOS,AVENUE
750101767,14,AVENUE GEORGES LAFENESTRE,AVENUE
750123238,16,AVENUE GEORGES LAFONT,AVENUE
750123265,16,AVENUE GEORGES MANDEL,AVENUE
750174064,16,AVENUE GEORGES RISLER,AVENUE
750036617,8,AVENUE GEORGE V,AVENUE
750130697,16,AVENUE GORDON BENNETT,AVENUE
750134660,17,AVENUE GOURGAUD,AVENUE
750163840,7,AVENUE GUSTAVE EIFFEL,AVENUE
750165083,16,AVENUE GUSTAVE V DE SUEDE,AVENUE
750123698,16,AVENUE HENRI MARTIN,AVENUE
750036834,8,AVENUE HOCHE,AVENUE
750181306,16,AVENUE HUSSEIN 1ER DE JORDANIE,AVENUE
750123906,16,AVENUE INGRES,AVENUE
750053035,11,AVENUE JEAN AICARD,AVENUE
750017232,19,AVENUE JEAN JAURES,AVENUE
750102280,14,AVENUE JEAN MOULIN,AVENUE
750071138,13,AVENUE JOSEPH BEDIER,AVENUE
750124119,16,AVENUE JULES JANIN,AVENUE
750080206,18,AVENUE JUNOT,AVENUE
750124188,16,AVENUE KLEBER,AVENUE
750061835,12,AVENUE LAMORICIERE,AVENUE
750061943,12,AVENUE LEDRU-ROLLIN,AVENUE
750071443,13,AVENUE LEON BOLLEE,AVENUE
750185232,20,AVENUE LEON GAUMONT,AVENUE
750124968,16,AVENUE LEON HEUZEY,AVENUE
750124976,16,AVENUE LEOPOLD II,AVENUE
750102892,14,AVENUE LUCIEN DESCAVES,AVENUE
750136667,17,AVENUE MAC-MAHON,AVENUE
750037780,8,AVENUE MARCEAU,AVENUE
