?ID;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;UBICACION;USO;MODELO
8888575;206;REJAS;20;SAN BLAS - CANILLEJAS;OPERATIVO;450077,9;4477118,11;40,44321612;-3,58866583;CALLE;DEYANIRA;8;28022;CERCA DE ZONA CANINA;31053840;2022-06-09;FUE_20_0135;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
9031613;91;CASA DE CAMPO;9;MONCLOA-ARAVACA;OPERATIVO;436901,45;4473514,15;40,40985475;-3,74366962;PASEO;Paseo Puerta del Angel;1;28011;AREA CANINA VID Nº1;;;FUEP_09_16_0011;ZV;PERSONAS_Y_MASCOTAS;OTRO
9031614;91;CASA DE CAMPO;9;MONCLOA-ARAVACA;OPERATIVO;437007,5;4473546,34;40,41015276;-3,74242301;PASEO;Paseo Puerta del Angel;1;28011;AREA CANINA VID Nº2;;;FUEP_09_16_0012;ZV;PERSONAS_Y_MASCOTAS;OTRO
9031694;166;VALDEFUENTES;16;HORTALEZA;OPERATIVO;447090,91;4483149,04;40,49736124;-3,62438856;AVENIDA;Avenida de las Fuerzas Armadas;11;28055;EN LA ENTRADA 10 (GLORIETA DE ANTONIO BONET);;;FUEP_16_15_0007;ZV;PERSONAS_Y_MASCOTAS;OTRO
9031695;166;VALDEFUENTES;16;HORTALEZA;OPERATIVO;447060,01;4483023,06;40,49622438;-3,62474266;AVENIDA;Avenida de las Fuerzas Armadas;11;28055;ZONA CANINA CERCA DE LA BALSA;;;FUEP_16_15_0008;ZV;PERSONAS_Y_MASCOTAS;OTRO
9031717;166;VALDEFUENTES;16;HORTALEZA;OPERATIVO;446985,63;4481579,52;40,4832155;-3,62549962;AVENIDA;Avenida de las Fuerzas Armadas;11;28055;EN LA ENTRADA 1 (GLORIETA ISIDRO GONZALEZ VELAZQUEZ);;;FUEP_16_15_0029;ZV;PERSONAS_Y_MASCOTAS;OTRO
9031741;143;MARROQUINA;14;MORATALAZ;OPERATIVO;446446,41;4473902,63;40,41402321;-3,63121397;AVENIDA;Avenida del Doctor Garcia Tapia;125;28030;ZONA CANINA PROXIMA AL RECINTO FERIAL;;;FUEP_14_19_0009;ZV;MASCOTAS;OTRO
8834918;95;VALDEMARIN;9;MONCLOA-ARAVACA;OPERATIVO;434115,99;4480215,43;40,470006;-3,77719071;AVENIDA;VALDEMARIN;67;28023;JUNTO ÁREA CANINA;20166322;2022-05-05;FUE_09_0136;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
8835114;183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;OPERATIVO;446944,621;4468698,957;40,36717702;-3,62490862;CALLE;CINCOVILLAS;5;28051;C/V AVDA. MAYORAZGO, JUNTO ÁREA CANINA;31028057;2022-05-05;FUE_18_0069;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
8835122;183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;OPERATIVO;448448,5;4468290,07;40,36358783;-3,60716321;AVENIDA;CERRO MILANO;27;28051;JUNTO ÁREA CANINA;31064538;;FUE_18_0072;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
8835185;183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;OPERATIVO;446521,35;4469652,91;40,37574383;-3,62997383;CALLE;CABEZA MESADA;7;28031;PARQUE VALDEPERDICES, JUNTO ÁREA CANINA;31043451;2022-05-05;FUE_18_0074;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
8921514;131;ENTREVIAS;13;PUENTE DE VALLECAS;OPERATIVO;443918,82;4468898,78;40,3687791;-3,66056317;CALLE;ESTEBAN CARROS;80;28053;Parque Garrigues Walker, JUNTO ZONA CANINA;20170141;2022-06-11;FUE_13_0174;ZV;MASCOTAS;BEBEDERO NEPTUNO
