ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;UBICACION;USO;MODELO
"9046991";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"441966.00";"4474101.00";"ETRS89";40.41550989;-3.68403737;"PLAZA";"INDEPENDENCIA";"7";"28001";"Plaza de Honduras";"31026163";;"FUEP_03_01_0023";"6";"ZV";"PERSONAS";"OTRO"
"9046992";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442010.00";"4474131.00";"ETRS89";40.41578321;-3.68352151;"PLAZA";"INDEPENDENCIA";"7";"28001";"Paseo de Venezuela";"31026163";;"FUEP_03_01_0024";"6";"ZV";"PERSONAS";"ESCULTURA PATRIMONIO HISTÓRICO"
"9046993";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442132.00";"4474269.00";"ETRS89";40.41703488;-3.68209617;"PLAZA";"INDEPENDENCIA";"7";"28001";"Glorieta de la Sardana";"31026163";;"FUEP_03_01_0025";"6";"ZV";"PERSONAS";"ESCULTURA PATRIMONIO HISTÓRICO"
"9046997";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442303.00";"4474229.00";"ETRS89";40.41668641;-3.68007708;"PLAZA";"INDEPENDENCIA";"7";"28001";"Entorno Jardinillo";"31026163";;"FUEP_03_01_0029";"6";"ZV";"PERSONAS";"MU-37G"
"9046996";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442227.00";"4474114.00";"ETRS89";40.41564516;-3.68096239;"PLAZA";"INDEPENDENCIA";"7";"28001";"Entorno Palacio de Velázquez";"31026163";;"FUEP_03_01_0028";"6";"ZV";"PERSONAS";"OTRO"
"9046998";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"NO_OPERATIVO";"442379.00";"4474278.00";"ETRS89";40.41713309;-3.67918576;"PLAZA";"INDEPENDENCIA";"7";"28001";"En área infantil AI_000010";"31026163";;"FUEP_03_01_0030";"6";"ZV";"PERSONAS";"OTRO"
"9046999";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442432.00";"4474224.00";"ETRS89";40.41665030;-3.67855620;"PLAZA";"INDEPENDENCIA";"7";"28001";"Entorno Foso de los monos";"31026163";;"FUEP_03_01_0031";"6";"ZV";"PERSONAS";"OTRO"
"9047000";"Fuentes de beber";"091";"CASA DE CAMPO";"09";"MONCLOA-ARAVACA";"OPERATIVO";"438333.00";"4476296.00";"ETRS89";40.43502209;-3.72706867;"PASEO";"MORET";"2";"28008";"Paseo de Plátanos cerca de área de mayores AM_000007";"31024729";;"FUEP_09_02_0032";"6";"ZV";"PERSONAS";"MU-37C"
"9047001";"Fuentes de beber";"091";"CASA DE CAMPO";"09";"MONCLOA-ARAVACA";"OPERATIVO";"438539.00";"4476353.00";"ETRS89";40.43555082;-3.72464557;"PASEO";"MORET";"2";"28008";"Enfrente de banco";"31024729";;"FUEP_09_02_0033";"6";"ZV";"PERSONAS";"MU-37C"
"9047005";"Fuentes de beber";"091";"CASA DE CAMPO";"09";"MONCLOA-ARAVACA";"OPERATIVO";"439192.00";"4475162.00";"ETRS89";40.42486979;-3.71683313;"PASEO";"MORET";"2";"28008";"Cerca escalera principal Templo de Debod";"31024729";;"FUEP_09_02_0037";"6";"ZV";"PERSONAS";"MU-37C"
