ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TIPO;MODELO
"517219";"Papelera";"112";"OPAÑEL";"11";"CARABANCHEL";"OPERATIVO";"438054.616";"4471154.006";"ETRS89";40.38868013;-3.72985000;"PLAZA";"GANDARA DE ORO";"2 B";"28019";"PLAZA DE GANDARA DE ORO,2 B";"31023896";"2011-02-23 00:00:00.0";"269193";"5PPL";"VIARIO";"50_LTS_EX"
"517227";"Papelera";"157";"COLINA";"15";"CIUDAD LINEAL";"OPERATIVO";"444199.26";"4479088.78";"ETRS89";40.46059515;-3.65815399;"CALLE";"MATIAS TURRION";"21";"28043";"CALLE DE MATIAS TURRION,21";"11112181";"2011-02-23 00:00:00.0";"269201";"5PPL";"VIARIO";"50_LTS_EX"
"517228";"Papelera";"073";"TRAFALGAR";"07";"CHAMBERI";"OPERATIVO";"440826.33";"4475610.74";"ETRS89";40.42903009;-3.69761002;"CALLE";"JOSE MARAÑON";"6";"28010";"CALLE DE JOSE MARAÑON,6";"20014000";"2011-02-23 00:00:00.0";"269202";"5PPL";"VIARIO";"50_LTS_EX"
"517241";"Papelera";"156";"SAN JUAN BAUTISTA";"15";"CIUDAD LINEAL";"OPERATIVO";"444704.64";"4477945.55";"ETRS89";40.45033014;-3.65209397;"CALLE";"ARTURO SORIA";"105";"28043";"CALLE ARTURO SORIA,105";"20169180";"2011-02-23 00:00:00.0";"269215";"5PPL";"VIARIO";"50_LTS_EX"
"517239";"Papelera";"073";"TRAFALGAR";"07";"CHAMBERI";"OPERATIVO";"440730.87";"4475650.46";"ETRS89";40.42938111;-3.69873904;"CALLE";"MANUEL SILVELA";"9";"28010";"CALLE DE MANUEL SILVELA,9";"11040739";"2011-02-23 00:00:00.0";"269213";"5PPL";"VIARIO";"50_LTS_EX"
"517243";"Papelera";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"443757.12";"4483051.15";"ETRS89";40.49626016;-3.66372002;"CALLE";"MARIA DE PORTUGAL";"7";"28050";"CALLE DE MARIA DE PORTUGAL,7";"31021871";"2011-02-23 00:00:00.0";"269217";"5PPL";"VIARIO";"50_LTS_EX"
"517247";"Papelera";"074";"ALMAGRO";"07";"CHAMBERI";"OPERATIVO";"440936.75";"4476123.17";"ETRS89";40.43365415;-3.69635597;"CALLE";"RAFAEL CALVO";"7";"28010";"CALLE DE RAFAEL CALVO,7";"11041303";"2011-02-23 00:00:00.0";"269221";"5PPL";"VIARIO";"50_LTS_EX"
"517246";"Papelera";"156";"SAN JUAN BAUTISTA";"15";"CIUDAD LINEAL";"OPERATIVO";"444971.22";"4477941.36";"ETRS89";40.45031009;-3.64895004;"CALLE";"GREGORIO BENITEZ";"16";"28043";"CALLE DE GREGORIO BENITEZ,16";"11111418";"2011-02-23 00:00:00.0";"269220";"5PPL";"VIARIO";"50_LTS_EX"
"517493";"Papelera";"154";"LA CONCEPCIÓN";"15";"CIUDAD LINEAL";"OPERATIVO";"445637.47";"4477234.39";"ETRS89";40.44398516;-3.64103297;"CALLE";"GOITIA";"7";"28027";"CALLE DE GOITIA,7";"20039046";"2011-02-24 00:00:00.0";"269475";"5PPL";"VIARIO";"50_LTS_EX"
"517502";"Papelera";"114";"VISTA ALEGRE";"11";"CARABANCHEL";"OPERATIVO";"436862.96";"4470809.71";"ETRS89";40.38548910;-3.74385504;"CALLE";"ANTOLINA MERINO";"15";"28025";"CALLE DE ANTOLINA MERINO,15";"11074580";"2011-02-24 00:00:00.0";"269485";"5PPL";"VIARIO";"50_LTS_EX"
